epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.001,1.23081,1.6242,0.92895,0.71653,0.71039,0.76699,0.50771,1.0608,0.82724,0.88805,0.0700134,0.00333184,0.00333184
2,339.59,1.14837,0.87745,0.90669,0.83357,0.76711,0.84714,0.57525,1.03065,0.69556,0.88258,0.0400118,0.00666355,0.00666355
3,498.035,1.16196,0.84204,0.9133,0.78039,0.7447,0.81312,0.54961,1.03135,0.73958,0.89228,0.0100036,0.00998875,0.00998875
4,653.081,1.1617,0.80191,0.91247,0.82553,0.74568,0.82117,0.56376,1.02704,0.67451,0.89096,0.00997803,0.00997803,0.00997803
5,806.994,1.11004,0.72569,0.90559,0.82484,0.77938,0.83996,0.58312,0.98531,0.64599,0.88515,0.00996097,0.00996097,0.00996097
6,960.389,1.08614,0.6859,0.89978,0.85955,0.82217,0.89227,0.61959,0.96968,0.60265,0.87845,0.00993906,0.00993906,0.00993906
7,1114.72,1.06851,0.65661,0.89738,0.82856,0.82103,0.84915,0.59788,0.96324,0.62397,0.87847,0.00991232,0.00991232,0.00991232
8,1271.7,1.04665,0.63617,0.89002,0.87903,0.8337,0.89149,0.62813,0.93285,0.58181,0.87182,0.00988079,0.00988079,0.00988079
9,1426.65,1.03102,0.61529,0.88359,0.81947,0.83354,0.85317,0.60588,0.9276,0.64319,0.8724,0.00984449,0.00984449,0.00984449
10,1581.73,1.01871,0.59998,0.88339,0.88231,0.82759,0.90903,0.65039,0.91786,0.54742,0.86631,0.00980345,0.00980345,0.00980345
11,1736.77,1.00788,0.58795,0.87961,0.91054,0.85068,0.92596,0.65706,0.91986,0.53692,0.8689,0.00975773,0.00975773,0.00975773
12,1892.18,0.9951,0.57832,0.87463,0.85626,0.85324,0.8884,0.64291,0.89499,0.52257,0.86232,0.00970736,0.00970736,0.00970736
13,2047.04,0.99208,0.56922,0.87483,0.8945,0.8356,0.90026,0.64605,0.9003,0.52867,0.86361,0.00965239,0.00965239,0.00965239
14,2202.34,0.98237,0.56192,0.87202,0.89037,0.85984,0.91445,0.66461,0.88398,0.50672,0.85947,0.00959289,0.00959289,0.00959289
15,2357.7,0.97408,0.55433,0.87045,0.89045,0.8626,0.92964,0.67238,0.88178,0.50771,0.85923,0.00952889,0.00952889,0.00952889
16,2512.57,0.96413,0.54623,0.86899,0.89815,0.88033,0.92918,0.68156,0.86932,0.49646,0.85453,0.00946048,0.00946048,0.00946048
17,2669.62,0.95976,0.53765,0.86764,0.90772,0.87039,0.9371,0.68878,0.86191,0.47937,0.85644,0.00938772,0.00938772,0.00938772
18,2824.61,0.95683,0.53444,0.86562,0.92346,0.87273,0.94221,0.6949,0.86196,0.48191,0.85182,0.00931067,0.00931067,0.00931067
19,2980.67,0.94977,0.53042,0.86369,0.89175,0.86786,0.91459,0.67062,0.85917,0.51166,0.85281,0.00922942,0.00922942,0.00922942
20,3135.98,0.94358,0.52078,0.8631,0.92563,0.86273,0.94229,0.69821,0.85607,0.4753,0.85184,0.00914405,0.00914405,0.00914405
21,3291.8,0.93989,0.52001,0.86267,0.90483,0.89104,0.94446,0.70167,0.84708,0.4556,0.84912,0.00905463,0.00905463,0.00905463
